"logRe_J" "logIe_J" "logsigma" "elogRe_J" "elogIe_J" "elogsigma"
0.465 2.94 2.137 0.057 0.084 0.073
0.024 3.708 2.338 0.048 0.071 0.023
0.343 3.067 2.219 0.047 0.07 0.045
0.371 3.328 2.369 0.046 0.068 0.04
0.316 2.859 2.144 0.042 0.062 0.066
0.322 3.035 2.189 0.061 0.091 0.093
0.227 3.112 2.209 0.053 0.079 0.049
0.211 3.354 2.336 0.053 0.079 0.058
0.658 2.884 2.402 0.04 0.059 0.048
0.497 3.079 2.34 0.045 0.067 0.04
0.502 2.93 2.244 0.051 0.076 0.028
0.317 2.96 2.159 0.056 0.082 0.062
0.399 2.65 2.185 0.062 0.091 0.075
0.439 3.162 2.368 0.032 0.048 0.024
0.421 2.82 2.113 0.042 0.062 0.05
0.364 3.335 2.283 0.045 0.066 0.031
0.651 2.725 2.284 0.036 0.054 0.035
0.518 2.858 2.212 0.051 0.075 0.039
0.127 3.175 2.224 0.064 0.095 0.057
0.174 3.046 2.21 0.064 0.094 0.097
0.266 2.864 2.182 0.059 0.087 0.053
0.056 3.575 2.371 0.061 0.091 0.079
0.255 3.303 2.312 0.047 0.069 0.038
0.4 3.018 2.333 0.044 0.066 0.029
0.498 3.066 2.38 0.045 0.067 0.041
-0.06 3.443 2.144 0.064 0.095 0.055
0.215 3.308 2.289 0.059 0.087 0.067
0.401 3.037 2.311 0.042 0.062 0.022
0.255 3.181 2.144 0.046 0.068 0.048
0.494 2.646 2.095 0.044 0.065 0.056
0.201 3.478 2.344 0.048 0.071 0.043
0.024 3.347 2.297 0.054 0.08 0.059
-0.312 3.888 2.362 0.064 0.095 0.068
0.187 3.155 2.196 0.04 0.059 0.046
0.433 2.966 2.331 0.055 0.082 0.066
-0.028 3.352 2.265 0.061 0.091 0.06
0.383 3.264 2.392 0.032 0.048 0.014
0.411 3.22 2.378 0.033 0.048 0.021
0.194 3.195 2.211 0.047 0.069 0.028
0.227 3.268 2.284 0.049 0.073 0.06
-0.055 3.382 2.26 0.064 0.095 0.045
0.184 3.199 2.301 0.054 0.081 0.035
0.24 3.361 2.222 0.042 0.062 0.023
0.078 3.319 2.229 0.059 0.087 0.062
0.266 3.162 2.333 0.048 0.07 0.029
0.61 2.778 2.391 0.037 0.055 0.033
0.232 3.274 2.183 0.061 0.091 0.034
0.097 3.117 2.063 0.04 0.059 0.093
0.518 2.688 2.103 0.044 0.065 0.069
0.381 3.396 2.468 0.032 0.048 0.032
