"logv" "logv_err" "M_K" "M_Kerr"
2.2547 0.014 -23.852 0.099
2.0438 0.018 -21.92 0.184
2.2512 0.011 -23.317 0.172
2.0045 0.018 -21.529 0.162
2.3846 0.011 -24.451 0.084
2.4259 0.014 -24.775 0.094
2.128 0.014 -22.798 0.107
2.434 0.012 -25.398 0.071
2.2844 0.013 -23.944 0.08
2.1094 0.014 -22.353 0.145
2.1445 0.013 -22.841 0.15
1.9557 0.018 -20.866 0.252
2.244 0.012 -23.548 0.095
2.3932 0.011 -25.055 0.101
2.1177 0.014 -22.193 0.17
2.0183 0.016 -21.232 0.185
2.2445 0.012 -23.832 0.104
1.9566 0.02 -20.158 0.262
2.2603 0.014 -23.716 0.108
2.1638 0.017 -23.144 0.109
2.092 0.014 -20.975 0.203
2.2837 0.012 -23.508 0.264
2.0061 0.017 -21.171 0.242
1.788 0.028 -19.432 0.245
2.0572 0.018 -21.519 0.156
2.26 0.014 -23.699 0.08
1.9426 0.018 -20.619 0.192
1.969 0.019 -20.886 0.23
2.1118 0.016 -23.197 0.15
2.353 0.011 -24.976 0.071
1.975 0.02 -20.516 0.287
2.3096 0.013 -24.164 0.081
1.9133 0.021 -20.049 0.239
2.338 0.009 -23.987 0.077
2.1904 0.014 -22.402 0.271
2.3755 0.013 -24.585 0.066
2.0173 0.016 -21.082 0.22
2.2657 0.011 -23.528 0.088
2.0616 0.018 -22.38 0.163
1.9814 0.018 -20.309 0.255
2.0913 0.017 -22.039 0.147
2.2448 0.015 -23.786 0.099
2.1849 0.013 -23.243 0.134
2.1541 0.014 -22.347 0.128
2.221 0.013 -23.263 0.106
2.2281 0.015 -23.844 0.133
2.2662 0.01 -23.261 0.127
2.1538 0.016 -22.819 0.099
2.3202 0.014 -24.166 0.066
2.1332 0.015 -22.583 0.117
2.0876 0.017 -22.025 0.219
2.3142 0.011 -24.212 0.077
2.442 0.011 -25.119 0.067
2.2502 0.01 -23.09 0.14
2.1365 0.014 -22.79 0.126
