"x" "y" "x_err" "y_err" "corxy"
-0.036 -0.2537 0.025553 0.149766 0.326469
0.046 -0.12904 0.040459 0.130964 0.296098
0.107 -0.31165 0.051865 0.104983 -0.89479
0.201 -0.01952 0.046615 0.106759 -0.40573
0.244 -0.25902 0.066573 0.14807 -0.40335
0.232 -0.246 0.081412 0.111603 0.417377
0.106 -0.28888 0.066241 0.12269 -0.88685
0.589 -0.5164 0.055217 0.113269 -0.44204
0.169 -0.31531 0.065 0.114836 0.507949
0.192 -0.21672 0.081841 0.122842 -0.34585
0.069 -0.31207 0.042011 0.104074 0.772886
0.283 -0.81994 0.060033 0.134172 0.793241
0.088 -0.11775 0.044407 0.107171 -0.14797
0.168 -0.20932 0.080056 0.126671 -0.64799
0.373 -0.54197 0.047201 0.112593 -0.60787
0.058 -0.13638 0.042801 0.107153 -0.96528
0.425 -0.56455 0.090917 0.117594 -0.27753
0.185 -0.56438 0.064884 0.118567 -0.73633
0.235 -0.2002 0.051039 0.134625 0.281798
0.196 -0.24369 0.068883 0.12665 0.927884
0.102 -0.25242 0.051312 0.109266 -0.16282
0.198 -0.15184 0.049091 0.106683 0.681563
0 -0.14681 0.041231 0.104377 -0.24091
0.099 -0.13794 0.027784 0.114244 0.538973
0.181 -0.30986 0.068095 0.102867 0.769185
0.061 -0.3806 0.046615 0.10581 -0.88493
0.076 -0.46888 0.037202 0.109181 -0.56594
-0.011 -0.25377 0.062649 0.130452 -0.73211
0.071 -0.25786 0.063529 0.134509 0.275153
0.215 -0.41936 0.081841 0.121346 0.577563
0.116 -0.24362 0.050477 0.12028 -0.62865
0.005 -0.39983 0.05608 0.130108 0.617732
0.283 -0.32284 0.045221 0.104597 0.575384
0.562 -0.73152 0.05 0.123104 0.516716
0.099 -0.22579 0.049929 0.124772 0.705601
0.118 -0.1773 0.054708 0.113781 -0.49554
0.073 -0.2888 0.039824 0.118813 -0.55196
0.202 -0.20473 0.088102 0.120113 0.370743
0.094 -0.25788 0.053338 0.114085 -0.47572
-0.006 -0.17577 0.073824 0.131251 -0.06043
0.477 -0.40267 0.082298 0.116557 -0.92977
