"x" "y" "x_err" "y_err" "corxy"
10.191 20.128 0.125 0.125 0.731
9.808 20.286 0.05 0.05 0.662
9.7 20.437 0.039 0.039 0.58
9.831 20.058 0.065 0.065 0.72
9.912 20.194 0.058 0.058 0.502
9.861 19.989 0.083 0.083 0.769
9.971 20.229 0.06 0.06 0.563
9.859 20.164 0.06 0.06 0.752
9.72 20.318 0.044 0.044 0.646
9.849 20.178 0.056 0.056 0.765
10.207 20.246 0.125 0.125 0.646
9.809 20.166 0.057 0.057 0.648
9.952 19.958 0.114 0.114 0.563
10.03 19.857 0.125 0.125 0.579
10.245 20.114 0.125 0.125 0.687
9.779 20.202 0.053 0.053 0.637
9.748 20.257 0.049 0.049 0.773
9.706 20.489 0.038 0.038 0.666
9.673 20.471 0.037 0.037 0.711
9.8 20.187 0.052 0.052 0.562
10.08 20.164 0.125 0.125 0.579
9.927 20.168 0.066 0.066 0.625
9.901 19.93 0.125 0.125 0.508
9.935 20.145 0.076 0.076 0.713
9.867 19.924 0.08 0.08 0.626
9.754 19.891 0.125 0.125 0.506
9.732 20.311 0.044 0.044 0.703
9.987 20.206 0.075 0.075 0.609
9.74 20.24 0.047 0.047 0.568
10.063 20.198 0.084 0.084 0.653
9.98 20.213 0.06 0.06 0.543
9.999 20.2 0.084 0.084 0.782
9.829 19.912 0.103 0.103 0.505
9.84 20.066 0.065 0.065 0.718
9.947 20.148 0.096 0.096 0.758
9.709 19.905 0.099 0.099 0.762
10.082 20.275 0.071 0.071 0.659
9.885 20.125 0.069 0.069 0.623
9.893 20.266 0.068 0.068 0.723
10.033 20.256 0.069 0.069 0.74
9.77 20.394 0.041 0.041 0.581
9.705 20.403 0.039 0.039 0.579
9.754 20.332 0.041 0.041 0.574
10.063 20.175 0.109 0.109 0.758
9.66 20.561 0.035 0.035 0.784
10.022 20.099 0.079 0.079 0.546
9.796 20.282 0.046 0.046 0.784
9.567 20.449 0.035 0.035 0.651
9.853 19.88 0.098 0.098 0.597
9.841 20.043 0.073 0.073 0.728
9.941 19.9 0.125 0.125 0.778
9.757 20.157 0.062 0.062 0.578
9.882 20.249 0.051 0.051 0.525
9.829 19.8 0.107 0.107 0.516
9.917 20.148 0.064 0.064 0.742
10.186 20.193 0.125 0.125 0.594
10.114 19.945 0.125 0.125 0.695
9.844 20.052 0.073 0.073 0.551
10.005 20.335 0.057 0.057 0.74
9.545 20.458 0.034 0.034 0.621
9.838 20.196 0.066 0.066 0.518
9.823 20.454 0.043 0.043 0.681
9.69 19.936 0.117 0.117 0.552
9.98 20.224 0.075 0.075 0.629
9.892 20.165 0.081 0.081 0.626
9.861 19.925 0.107 0.107 0.778
9.936 20.106 0.071 0.071 0.779
9.995 20.094 0.093 0.093 0.593
9.998 20.013 0.125 0.125 0.575
9.972 20.174 0.074 0.074 0.761
10.051 20.072 0.125 0.125 0.706
9.845 20.292 0.053 0.053 0.596
9.689 20.294 0.044 0.044 0.701
9.551 20.674 0.031 0.031 0.782
10.034 20.057 0.125 0.125 0.744
9.871 20.064 0.098 0.098 0.517
9.859 20.285 0.053 0.053 0.794
9.799 20.019 0.085 0.085 0.77
10.057 20.1 0.125 0.125 0.618
10.018 19.987 0.125 0.125 0.767
9.814 20.332 0.046 0.046 0.642
9.962 20.2 0.06 0.06 0.728
9.885 20.19 0.06 0.06 0.748
9.805 20.083 0.088 0.088 0.541
10.095 20.196 0.121 0.121 0.6
9.879 20.095 0.062 0.062 0.513
9.979 20.109 0.093 0.093 0.521
9.928 20.14 0.081 0.081 0.685
9.704 19.92 0.125 0.125 0.678
9.842 20.234 0.052 0.052 0.789
9.284 20.9 0.026 0.026 0.575
9.707 20.394 0.041 0.041 0.781
9.919 20.227 0.071 0.071 0.643
